batting_team,bowling_team,overs,current_score,wickets,runs_last5,wickets_last5,final_score
Royal Challengers Bangalore,Delhi Capitals,10,88,0,62,0,179
Chennai Super Kings,Rajasthan Royals,15,91,2,59,0,129
Kolkata Knight Riders,Sunrisers Hyderabad,14,96,0,32,0,176
Kolkata Knight Riders,Sunrisers Hyderabad,9,89,0,64,0,247
Sunrisers Hyderabad,Gujarat Titans,9,80,3,38,0,192
Royal Challengers Bangalore,Delhi Capitals,12,80,2,38,2,118
Delhi Capitals,Royal Challengers Bangalore,15,114,5,56,1,137
Rajasthan Royals,Royal Challengers Bangalore,19,126,1,73,1,131
Punjab Kings,Rajasthan Royals,13,94,0,58,0,156
Sunrisers Hyderabad,Punjab Kings,6,37,0,47,0,139
Chennai Super Kings,Rajasthan Royals,16,120,1,45,1,140
Lucknow Super Giants,Delhi Capitals,13,104,3,57,1,153
Lucknow Super Giants,Sunrisers Hyderabad,11,109,3,67,2,217
Delhi Capitals,Lucknow Super Giants,10,73,0,33,0,131
Punjab Kings,Gujarat Titans,11,50,2,51,2,106
Rajasthan Royals,Lucknow Super Giants,13,120,1,47,1,170
Punjab Kings,Chennai Super Kings,15,139,1,19,0,184
Sunrisers Hyderabad,Lucknow Super Giants,14,103,0,45,0,142
Royal Challengers Bangalore,Punjab Kings,18,159,3,26,0,164
Sunrisers Hyderabad,Gujarat Titans,5,28,0,63,0,112
Punjab Kings,Kolkata Knight Riders,17,135,2,37,0,180
Mumbai Indians,Lucknow Super Giants,7,50,1,27,0,174
Lucknow Super Giants,Chennai Super Kings,16,104,2,68,0,131
Royal Challengers Bangalore,Kolkata Knight Riders,12,110,1,34,0,171
Sunrisers Hyderabad,Kolkata Knight Riders,19,150,2,28,1,162
Punjab Kings,Chennai Super Kings,16,107,1,56,1,135
Kolkata Knight Riders,Mumbai Indians,16,124,0,23,0,162
Gujarat Titans,Chennai Super Kings,18,175,4,57,2,185
Sunrisers Hyderabad,Kolkata Knight Riders,10,75,0,60,0,159
Sunrisers Hyderabad,Lucknow Super Giants,19,147,3,38,1,157
Rajasthan Royals,Delhi Capitals,9,70,0,48,0,175
Punjab Kings,Rajasthan Royals,7,48,2,26,0,103
Mumbai Indians,Sunrisers Hyderabad,14,107,2,51,1,152
Chennai Super Kings,Lucknow Super Giants,12,108,2,48,1,205
Chennai Super Kings,Delhi Capitals,16,100,3,51,1,124
Gujarat Titans,Royal Challengers Bangalore,7,50,1,45,1,159
Royal Challengers Bangalore,Gujarat Titans,8,64,2,39,1,170
Gujarat Titans,Chennai Super Kings,11,59,0,47,0,122
Royal Challengers Bangalore,Rajasthan Royals,9,62,0,55,0,169
Rajasthan Royals,Kolkata Knight Riders,16,126,0,49,0,159
Chennai Super Kings,Gujarat Titans,19,106,1,50,1,111
Punjab Kings,Chennai Super Kings,11,83,0,26,0,178
Delhi Capitals,Punjab Kings,14,93,1,67,1,120
Rajasthan Royals,Gujarat Titans,5,40,0,49,0,177
Punjab Kings,Rajasthan Royals,11,59,0,31,0,131
Gujarat Titans,Chennai Super Kings,18,154,0,53,0,182
Sunrisers Hyderabad,Gujarat Titans,8,58,2,38,1,163
Mumbai Indians,Sunrisers Hyderabad,14,93,0,21,0,138
Punjab Kings,Delhi Capitals,10,94,0,39,0,217
Delhi Capitals,Gujarat Titans,6,40,0,39,0,143
Delhi Capitals,Gujarat Titans,18,121,1,67,0,138
Rajasthan Royals,Punjab Kings,17,110,1,49,1,115
Royal Challengers Bangalore,Delhi Capitals,10,50,0,46,0,125
Delhi Capitals,Royal Challengers Bangalore,12,92,0,38,0,152
Kolkata Knight Riders,Mumbai Indians,11,62,0,60,0,117
Punjab Kings,Rajasthan Royals,7,65,1,40,1,186
Kolkata Knight Riders,Mumbai Indians,18,183,2,49,0,193
Kolkata Knight Riders,Chennai Super Kings,17,128,4,26,0,166
Punjab Kings,Gujarat Titans,11,67,0,70,0,98
Sunrisers Hyderabad,Kolkata Knight Riders,19,140,1,59,1,145
Gujarat Titans,Delhi Capitals,14,113,1,51,1,163
Royal Challengers Bangalore,Gujarat Titans,17,119,2,36,0,164
Gujarat Titans,Punjab Kings,9,71,0,34,0,172
Royal Challengers Bangalore,Lucknow Super Giants,5,54,0,52,0,211
Punjab Kings,Rajasthan Royals,19,164,2,50,2,185
Chennai Super Kings,Mumbai Indians,12,98,4,38,1,165
Gujarat Titans,Delhi Capitals,11,119,0,58,0,221
Chennai Super Kings,Kolkata Knight Riders,11,100,2,54,2,191
Punjab Kings,Mumbai Indians,16,160,0,45,0,204
Rajasthan Royals,Delhi Capitals,16,133,1,34,1,138
Sunrisers Hyderabad,Delhi Capitals,12,68,0,56,0,111
Punjab Kings,Chennai Super Kings,18,144,1,43,1,170
Kolkata Knight Riders,Punjab Kings,5,36,0,69,0,133
Lucknow Super Giants,Sunrisers Hyderabad,13,133,2,53,1,183
Sunrisers Hyderabad,Kolkata Knight Riders,10,66,0,26,0,144
Gujarat Titans,Rajasthan Royals,19,159,3,66,0,164
Chennai Super Kings,Lucknow Super Giants,15,127,1,48,1,163
Gujarat Titans,Lucknow Super Giants,11,90,4,55,0,151
Rajasthan Royals,Gujarat Titans,6,60,0,70,0,173
Kolkata Knight Riders,Sunrisers Hyderabad,10,67,0,52,0,145
Mumbai Indians,Sunrisers Hyderabad,7,48,2,51,2,144
Kolkata Knight Riders,Delhi Capitals,16,121,3,51,2,146
Rajasthan Royals,Royal Challengers Bangalore,13,113,1,71,0,169
Mumbai Indians,Sunrisers Hyderabad,13,99,1,67,1,145
Rajasthan Royals,Royal Challengers Bangalore,16,113,3,43,2,134
Royal Challengers Bangalore,Mumbai Indians,8,68,0,27,0,149
Sunrisers Hyderabad,Royal Challengers Bangalore,13,109,2,49,0,176
Punjab Kings,Royal Challengers Bangalore,7,53,0,35,0,182
Lucknow Super Giants,Delhi Capitals,13,113,1,44,0,163
Lucknow Super Giants,Kolkata Knight Riders,15,143,1,32,0,188
Chennai Super Kings,Rajasthan Royals,19,143,0,28,0,148
Royal Challengers Bangalore,Sunrisers Hyderabad,17,142,4,34,1,152
Delhi Capitals,Gujarat Titans,5,36,0,38,0,177
Rajasthan Royals,Mumbai Indians,18,134,1,32,0,148
Mumbai Indians,Gujarat Titans,5,41,0,40,0,167
Mumbai Indians,Punjab Kings,16,126,1,48,0,158
Chennai Super Kings,Rajasthan Royals,7,57,1,61,1,163
Sunrisers Hyderabad,Chennai Super Kings,17,111,0,27,0,122
Lucknow Super Giants,Rajasthan Royals,16,134,1,47,1,171
Punjab Kings,Delhi Capitals,6,39,0,50,0,134
Rajasthan Royals,Sunrisers Hyderabad,12,82,1,42,1,129
Gujarat Titans,Royal Challengers Bangalore,6,36,0,28,0,120
Kolkata Knight Riders,Mumbai Indians,17,170,3,37,2,183
Delhi Capitals,Kolkata Knight Riders,7,57,0,43,0,140
Sunrisers Hyderabad,Mumbai Indians,9,67,2,58,0,161
Kolkata Knight Riders,Delhi Capitals,19,142,5,73,1,147
Kolkata Knight Riders,Punjab Kings,17,149,4,64,0,201
Sunrisers Hyderabad,Chennai Super Kings,13,90,0,59,0,147
Kolkata Knight Riders,Royal Challengers Bangalore,6,33,0,60,0,126
Mumbai Indians,Punjab Kings,6,62,0,60,0,207
Mumbai Indians,Chennai Super Kings,13,75,0,41,0,100
Sunrisers Hyderabad,Lucknow Super Giants,19,153,3,39,0,158
Lucknow Super Giants,Mumbai Indians,14,138,2,66,2,202
Royal Challengers Bangalore,Kolkata Knight Riders,5,38,0,55,0,167
Punjab Kings,Mumbai Indians,8,64,1,41,0,167
Chennai Super Kings,Kolkata Knight Riders,16,125,0,64,0,161
Kolkata Knight Riders,Chennai Super Kings,7,54,2,35,0,158
Sunrisers Hyderabad,Rajasthan Royals,10,60,0,13,0,111
Mumbai Indians,Lucknow Super Giants,16,134,1,38,0,182
Sunrisers Hyderabad,Kolkata Knight Riders,17,180,5,31,0,202
Gujarat Titans,Kolkata Knight Riders,14,129,3,63,3,162
Sunrisers Hyderabad,Lucknow Super Giants,12,103,1,23,1,147
Chennai Super Kings,Rajasthan Royals,18,109,1,25,0,114
Mumbai Indians,Chennai Super Kings,15,148,1,46,1,202
Chennai Super Kings,Royal Challengers Bangalore,11,101,0,61,0,197
Sunrisers Hyderabad,Lucknow Super Giants,14,116,2,27,0,149
Sunrisers Hyderabad,Royal Challengers Bangalore,7,52,1,35,0,202
Kolkata Knight Riders,Punjab Kings,14,138,0,41,0,202
Delhi Capitals,Punjab Kings,14,112,0,48,0,147
Kolkata Knight Riders,Royal Challengers Bangalore,9,67,1,33,0,163
Lucknow Super Giants,Gujarat Titans,17,116,1,28,1,124
Sunrisers Hyderabad,Gujarat Titans,15,85,2,44,1,92
Gujarat Titans,Rajasthan Royals,13,117,0,50,0,173
Rajasthan Royals,Mumbai Indians,19,171,4,63,2,176
Royal Challengers Bangalore,Sunrisers Hyderabad,8,56,0,58,0,143
Royal Challengers Bangalore,Kolkata Knight Riders,16,138,2,25,0,158
Punjab Kings,Mumbai Indians,5,38,0,57,0,136
Lucknow Super Giants,Royal Challengers Bangalore,10,67,0,51,0,123
Lucknow Super Giants,Punjab Kings,14,116,2,26,1,177
Chennai Super Kings,Gujarat Titans,7,49,0,52,0,146
Mumbai Indians,Delhi Capitals,13,85,2,60,0,154
Kolkata Knight Riders,Punjab Kings,5,52,0,50,0,220
Lucknow Super Giants,Royal Challengers Bangalore,12,92,2,61,0,141
Chennai Super Kings,Lucknow Super Giants,15,141,2,51,0,195
Punjab Kings,Royal Challengers Bangalore,18,167,1,70,1,190
Rajasthan Royals,Lucknow Super Giants,8,52,1,58,0,149
Rajasthan Royals,Chennai Super Kings,13,76,3,54,0,108
Punjab Kings,Delhi Capitals,13,97,3,60,1,146
Rajasthan Royals,Gujarat Titans,10,123,2,26,1,211
Mumbai Indians,Punjab Kings,12,102,3,55,0,164
Gujarat Titans,Delhi Capitals,11,75,3,46,1,143
Chennai Super Kings,Royal Challengers Bangalore,7,58,1,64,1,184
Royal Challengers Bangalore,Rajasthan Royals,15,125,2,66,1,165
Sunrisers Hyderabad,Gujarat Titans,12,83,0,49,0,146
Gujarat Titans,Royal Challengers Bangalore,7,65,1,66,0,171
Chennai Super Kings,Lucknow Super Giants,19,143,7,58,0,148
Rajasthan Royals,Mumbai Indians,11,92,2,62,0,171
Chennai Super Kings,Mumbai Indians,14,103,1,56,1,148
Sunrisers Hyderabad,Kolkata Knight Riders,11,91,2,33,0,148
Sunrisers Hyderabad,Lucknow Super Giants,18,145,3,65,0,150
Kolkata Knight Riders,Royal Challengers Bangalore,17,129,0,38,0,153
Kolkata Knight Riders,Punjab Kings,19,128,1,34,1,143
Royal Challengers Bangalore,Punjab Kings,12,100,3,31,3,157
Delhi Capitals,Gujarat Titans,15,139,1,31,1,199
Mumbai Indians,Punjab Kings,15,135,5,60,1,165
Kolkata Knight Riders,Sunrisers Hyderabad,11,102,1,62,1,192
Delhi Capitals,Gujarat Titans,12,117,0,33,0,197
Chennai Super Kings,Delhi Capitals,12,63,0,36,0,108
Kolkata Knight Riders,Rajasthan Royals,14,113,1,46,1,146
Royal Challengers Bangalore,Punjab Kings,5,46,1,36,1,147
Delhi Capitals,Punjab Kings,17,169,1,71,0,183
Kolkata Knight Riders,Gujarat Titans,18,177,1,66,1,193
Punjab Kings,Sunrisers Hyderabad,18,165,1,70,0,180
Sunrisers Hyderabad,Kolkata Knight Riders,13,86,2,50,0,126
Kolkata Knight Riders,Mumbai Indians,5,39,0,62,0,148
Chennai Super Kings,Mumbai Indians,18,172,4,34,2,177
Delhi Capitals,Kolkata Knight Riders,18,140,4,56,0,145
Mumbai Indians,Lucknow Super Giants,14,114,2,49,0,165
Royal Challengers Bangalore,Delhi Capitals,12,92,1,53,1,151
Kolkata Knight Riders,Sunrisers Hyderabad,14,136,1,41,1,184
Kolkata Knight Riders,Delhi Capitals,16,95,2,24,0,106
Royal Challengers Bangalore,Kolkata Knight Riders,12,122,3,70,0,177
Royal Challengers Bangalore,Rajasthan Royals,13,128,0,58,0,193
Delhi Capitals,Kolkata Knight Riders,15,150,3,39,1,193
Rajasthan Royals,Sunrisers Hyderabad,13,135,2,57,1,194
Chennai Super Kings,Punjab Kings,19,147,0,56,0,152
Punjab Kings,Mumbai Indians,5,31,1,52,1,129
Chennai Super Kings,Rajasthan Royals,14,88,1,23,1,121
Royal Challengers Bangalore,Sunrisers Hyderabad,8,77,0,47,0,196
Kolkata Knight Riders,Chennai Super Kings,19,110,4,36,0,115
Chennai Super Kings,Rajasthan Royals,9,74,0,42,0,210
Sunrisers Hyderabad,Kolkata Knight Riders,10,41,2,60,1,120
Royal Challengers Bangalore,Gujarat Titans,16,100,1,46,0,145
Gujarat Titans,Lucknow Super Giants,18,116,0,65,0,123
Mumbai Indians,Kolkata Knight Riders,6,48,0,17,0,200
Punjab Kings,Mumbai Indians,19,116,3,32,0,121
Sunrisers Hyderabad,Royal Challengers Bangalore,19,150,0,39,0,155
Kolkata Knight Riders,Royal Challengers Bangalore,11,88,0,55,0,167
Chennai Super Kings,Royal Challengers Bangalore,9,81,0,47,0,146
Mumbai Indians,Punjab Kings,9,58,0,49,0,127
Royal Challengers Bangalore,Lucknow Super Giants,6,66,0,48,0,225
Punjab Kings,Mumbai Indians,17,142,4,58,0,147
Gujarat Titans,Lucknow Super Giants,14,89,2,55,1,150
Punjab Kings,Sunrisers Hyderabad,14,143,2,55,2,204
Sunrisers Hyderabad,Kolkata Knight Riders,9,86,0,60,0,193
Mumbai Indians,Rajasthan Royals,19,152,4,66,1,157
Delhi Capitals,Rajasthan Royals,12,63,1,41,1,110
Kolkata Knight Riders,Sunrisers Hyderabad,13,113,1,43,0,183
Gujarat Titans,Royal Challengers Bangalore,14,101,3,29,0,124
Rajasthan Royals,Kolkata Knight Riders,10,74,1,33,0,167
Sunrisers Hyderabad,Rajasthan Royals,12,123,1,39,0,204
Lucknow Super Giants,Gujarat Titans,10,74,0,65,0,145
Sunrisers Hyderabad,Delhi Capitals,8,73,0,46,0,169
Chennai Super Kings,Sunrisers Hyderabad,5,40,0,48,0,171
Royal Challengers Bangalore,Sunrisers Hyderabad,9,77,2,58,1,185
Sunrisers Hyderabad,Gujarat Titans,14,104,0,51,0,153
Mumbai Indians,Sunrisers Hyderabad,15,118,2,46,2,165
Rajasthan Royals,Sunrisers Hyderabad,11,103,0,27,0,172
Rajasthan Royals,Royal Challengers Bangalore,7,61,0,60,0,191
Mumbai Indians,Lucknow Super Giants,12,114,1,60,0,165
Punjab Kings,Gujarat Titans,12,107,2,52,0,174
Chennai Super Kings,Gujarat Titans,11,107,2,44,0,208
Chennai Super Kings,Punjab Kings,16,132,2,41,1,151
Punjab Kings,Delhi Capitals,11,100,1,61,1,188
Sunrisers Hyderabad,Gujarat Titans,11,97,0,33,0,190
Mumbai Indians,Punjab Kings,8,69,0,52,0,151
Punjab Kings,Royal Challengers Bangalore,11,68,1,34,1,138
Rajasthan Royals,Royal Challengers Bangalore,13,103,1,42,1,170
Gujarat Titans,Lucknow Super Giants,8,63,0,40,0,160
Chennai Super Kings,Royal Challengers Bangalore,17,192,0,34,0,227
Kolkata Knight Riders,Lucknow Super Giants,17,135,4,51,1,163
Chennai Super Kings,Sunrisers Hyderabad,16,106,1,39,0,125
Rajasthan Royals,Royal Challengers Bangalore,18,143,5,41,0,163
Gujarat Titans,Mumbai Indians,19,190,0,61,0,198
Chennai Super Kings,Kolkata Knight Riders,15,113,1,42,1,164
Kolkata Knight Riders,Royal Challengers Bangalore,15,125,1,49,1,184
Sunrisers Hyderabad,Royal Challengers Bangalore,8,84,0,48,0,185
Chennai Super Kings,Sunrisers Hyderabad,11,69,1,31,1,125
Lucknow Super Giants,Chennai Super Kings,6,79,1,40,0,226
Gujarat Titans,Mumbai Indians,15,103,1,73,0,132
Punjab Kings,Gujarat Titans,9,73,2,67,1,149
Mumbai Indians,Gujarat Titans,11,83,2,61,1,163
Gujarat Titans,Kolkata Knight Riders,7,43,1,41,1,168
Delhi Capitals,Royal Challengers Bangalore,10,66,1,67,0,126
Lucknow Super Giants,Punjab Kings,10,68,1,37,0,155
Mumbai Indians,Gujarat Titans,15,110,0,44,0,166
Lucknow Super Giants,Kolkata Knight Riders,5,36,0,35,0,145
Lucknow Super Giants,Sunrisers Hyderabad,17,171,1,52,1,206
Delhi Capitals,Gujarat Titans,5,50,0,47,0,185
Lucknow Super Giants,Mumbai Indians,18,143,0,44,0,160
Punjab Kings,Mumbai Indians,5,30,0,39,0,178
Punjab Kings,Mumbai Indians,6,37,0,27,0,158
Gujarat Titans,Kolkata Knight Riders,14,100,1,73,1,148
Delhi Capitals,Royal Challengers Bangalore,12,132,2,48,1,236
Delhi Capitals,Gujarat Titans,18,118,4,64,2,123
Chennai Super Kings,Rajasthan Royals,16,104,2,61,2,110
Rajasthan Royals,Kolkata Knight Riders,10,73,0,53,0,148
Sunrisers Hyderabad,Royal Challengers Bangalore,14,134,0,62,0,178
Delhi Capitals,Chennai Super Kings,13,101,1,38,1,160
Gujarat Titans,Chennai Super Kings,10,88,4,35,1,176
Rajasthan Royals,Chennai Super Kings,9,61,0,68,0,131
Royal Challengers Bangalore,Chennai Super Kings,10,67,1,20,0,134
Lucknow Super Giants,Kolkata Knight Riders,14,95,3,37,1,116
Sunrisers Hyderabad,Punjab Kings,8,89,2,38,0,197
Chennai Super Kings,Gujarat Titans,9,52,0,60,0,116
Delhi Capitals,Lucknow Super Giants,16,113,3,32,0,138
Royal Challengers Bangalore,Sunrisers Hyderabad,9,64,1,42,0,149
Kolkata Knight Riders,Lucknow Super Giants,19,117,1,38,1,122
Gujarat Titans,Rajasthan Royals,8,70,1,31,0,134
Rajasthan Royals,Kolkata Knight Riders,19,170,1,66,0,175
Lucknow Super Giants,Chennai Super Kings,19,176,1,39,0,192
Delhi Capitals,Rajasthan Royals,8,63,1,69,0,167
Lucknow Super Giants,Kolkata Knight Riders,18,167,1,17,1,202
Sunrisers Hyderabad,Kolkata Knight Riders,19,155,2,62,0,160
Lucknow Super Giants,Delhi Capitals,9,75,0,30,0,158
Royal Challengers Bangalore,Sunrisers Hyderabad,6,43,0,48,0,127
Sunrisers Hyderabad,Lucknow Super Giants,9,62,1,36,0,138
Sunrisers Hyderabad,Lucknow Super Giants,11,83,0,51,0,174
Sunrisers Hyderabad,Punjab Kings,6,52,0,75,0,164
Sunrisers Hyderabad,Chennai Super Kings,14,144,2,54,1,215
Mumbai Indians,Rajasthan Royals,5,34,0,64,0,148
Chennai Super Kings,Punjab Kings,8,63,1,62,0,167
Delhi Capitals,Kolkata Knight Riders,17,99,0,36,0,105
Gujarat Titans,Mumbai Indians,8,47,1,36,0,125
Royal Challengers Bangalore,Kolkata Knight Riders,10,82,1,65,0,156
Gujarat Titans,Lucknow Super Giants,15,92,0,51,0,124
Mumbai Indians,Gujarat Titans,6,34,1,59,1,112
Punjab Kings,Mumbai Indians,13,113,0,54,0,149
Lucknow Super Giants,Kolkata Knight Riders,13,87,0,31,0,141
Punjab Kings,Sunrisers Hyderabad,5,36,0,45,0,166
Rajasthan Royals,Delhi Capitals,7,59,0,34,0,188
Gujarat Titans,Delhi Capitals,14,117,1,51,1,180
Kolkata Knight Riders,Mumbai Indians,10,90,1,51,0,193
Gujarat Titans,Sunrisers Hyderabad,13,102,2,41,1,173
Gujarat Titans,Punjab Kings,9,75,1,41,1,157
Lucknow Super Giants,Punjab Kings,12,90,0,50,0,173
Rajasthan Royals,Sunrisers Hyderabad,10,90,1,61,1,177
Punjab Kings,Delhi Capitals,17,120,1,55,0,143
Rajasthan Royals,Sunrisers Hyderabad,6,54,0,38,0,172
Lucknow Super Giants,Royal Challengers Bangalore,18,135,1,61,1,161
Sunrisers Hyderabad,Royal Challengers Bangalore,17,143,1,68,0,165
Lucknow Super Giants,Delhi Capitals,8,70,0,38,0,197
Sunrisers Hyderabad,Rajasthan Royals,8,64,0,60,0,172
Sunrisers Hyderabad,Mumbai Indians,16,155,2,56,1,171
Royal Challengers Bangalore,Rajasthan Royals,5,19,1,30,1,111
Mumbai Indians,Punjab Kings,15,113,2,72,0,152
Sunrisers Hyderabad,Lucknow Super Giants,16,145,2,56,0,169
Royal Challengers Bangalore,Sunrisers Hyderabad,13,137,3,22,2,196
Rajasthan Royals,Punjab Kings,7,63,0,73,0,156
Punjab Kings,Kolkata Knight Riders,18,121,0,35,0,138
Gujarat Titans,Royal Challengers Bangalore,6,40,0,54,0,145
Sunrisers Hyderabad,Mumbai Indians,14,125,1,57,1,182
Chennai Super Kings,Delhi Capitals,14,120,0,68,0,174
Delhi Capitals,Punjab Kings,12,100,1,51,0,145
Mumbai Indians,Kolkata Knight Riders,7,58,1,43,0,141
Punjab Kings,Royal Challengers Bangalore,10,86,1,62,1,172
Royal Challengers Bangalore,Gujarat Titans,5,39,0,63,0,128
Mumbai Indians,Lucknow Super Giants,14,137,2,31,0,221
Sunrisers Hyderabad,Royal Challengers Bangalore,16,137,4,53,3,159
Lucknow Super Giants,Rajasthan Royals,13,99,1,36,1,145
Chennai Super Kings,Sunrisers Hyderabad,16,130,1,27,1,161
Lucknow Super Giants,Punjab Kings,6,40,0,25,0,181
Kolkata Knight Riders,Royal Challengers Bangalore,9,71,2,53,0,163
Sunrisers Hyderabad,Chennai Super Kings,8,74,1,49,1,191
Kolkata Knight Riders,Mumbai Indians,13,85,1,52,1,130
Gujarat Titans,Rajasthan Royals,11,96,1,27,1,161
Gujarat Titans,Lucknow Super Giants,16,107,1,42,1,131
Sunrisers Hyderabad,Rajasthan Royals,19,157,0,50,0,162
Rajasthan Royals,Royal Challengers Bangalore,13,123,0,30,0,209
Kolkata Knight Riders,Chennai Super Kings,11,56,0,60,0,117
Chennai Super Kings,Punjab Kings,17,102,2,36,2,133
Lucknow Super Giants,Punjab Kings,16,111,2,64,2,140
Gujarat Titans,Lucknow Super Giants,9,70,1,37,1,150
Kolkata Knight Riders,Royal Challengers Bangalore,16,152,0,67,0,185
Punjab Kings,Kolkata Knight Riders,7,47,0,43,0,164
Gujarat Titans,Chennai Super Kings,16,129,1,63,0,157
Lucknow Super Giants,Chennai Super Kings,13,97,1,41,0,144
Punjab Kings,Delhi Capitals,15,110,4,56,1,127
Sunrisers Hyderabad,Rajasthan Royals,9,60,2,33,1,135
Rajasthan Royals,Kolkata Knight Riders,11,71,0,58,0,160
Gujarat Titans,Delhi Capitals,16,88,0,61,0,105
Chennai Super Kings,Lucknow Super Giants,19,142,2,61,1,152
Royal Challengers Bangalore,Kolkata Knight Riders,19,150,4,36,2,155
Punjab Kings,Delhi Capitals,16,149,3,61,0,178
Lucknow Super Giants,Delhi Capitals,14,146,2,35,0,187
Punjab Kings,Gujarat Titans,18,172,3,49,0,195
Rajasthan Royals,Lucknow Super Giants,5,54,0,49,0,162
Mumbai Indians,Sunrisers Hyderabad,19,179,2,48,0,184
Chennai Super Kings,Rajasthan Royals,7,61,0,29,0,193
Delhi Capitals,Gujarat Titans,11,88,1,58,1,158
Chennai Super Kings,Punjab Kings,19,163,3,33,0,168
Rajasthan Royals,Punjab Kings,13,101,2,34,1,142
Mumbai Indians,Chennai Super Kings,17,124,4,73,0,159
Kolkata Knight Riders,Sunrisers Hyderabad,10,76,0,42,0,145
Mumbai Indians,Rajasthan Royals,14,111,3,44,0,153
Delhi Capitals,Kolkata Knight Riders,15,125,1,55,0,192
Lucknow Super Giants,Punjab Kings,7,56,1,36,1,160
Mumbai Indians,Royal Challengers Bangalore,13,103,1,45,1,167
Delhi Capitals,Chennai Super Kings,6,43,0,34,0,115
Kolkata Knight Riders,Punjab Kings,9,67,0,25,0,153
Gujarat Titans,Chennai Super Kings,10,81,0,44,0,141
Gujarat Titans,Royal Challengers Bangalore,5,47,0,57,0,194
Rajasthan Royals,Chennai Super Kings,16,90,3,58,0,114
Chennai Super Kings,Sunrisers Hyderabad,16,128,0,70,0,149
Rajasthan Royals,Gujarat Titans,11,57,2,34,0,98
Lucknow Super Giants,Kolkata Knight Riders,8,61,0,29,0,138
Mumbai Indians,Punjab Kings,9,69,1,69,0,153
Mumbai Indians,Rajasthan Royals,19,161,1,53,1,181
Mumbai Indians,Sunrisers Hyderabad,13,81,2,56,0,136
Mumbai Indians,Rajasthan Royals,12,98,1,27,1,149
Kolkata Knight Riders,Delhi Capitals,18,144,5,40,0,173
Gujarat Titans,Lucknow Super Giants,8,60,0,40,0,150
Sunrisers Hyderabad,Gujarat Titans,5,28,0,41,0,134
Chennai Super Kings,Mumbai Indians,10,61,1,61,1,112
Sunrisers Hyderabad,Rajasthan Royals,15,152,4,30,0,204
Kolkata Knight Riders,Gujarat Titans,8,60,2,45,0,155
Gujarat Titans,Lucknow Super Giants,5,32,0,58,0,132
